Domain,Count,UnsubscribeCount,Size
gmail.com,8742,1519,1809401616
linkedin.com,9300,1946,484962113
amazon.co.uk,8526,0,473758474
dcs.bbk.ac.uk,3021,172,379786044
wikiled.com,947,1,261475446
ebay.co.uk,7469,0,194577711
apps.jobserve.com,7490,66,176638655
info.bookatable.com,1465,0,166289978
e.achica.com,1744,1744,166011014
mail.hotels.com,2139,1901,162246105
reply.ebay.co.uk,1775,1120,157322497
news.groupon.co.uk,2230,18,152135040
reply.agoda-emails.com,977,918,151269582
rightmove.com,3047,0,148900454
news.myprotein.com,1854,1854,143963653
maplin.co.uk,1568,255,119087627
reply.brandalley.co.uk,1480,1480,113458429
e.thehut.com,1640,1622,104854823
enews.lookfantastic.com,1451,1281,100462499
dabs.com,1650,0,93580436
amazon.com,928,24,92732670
sg.booking.com,958,675,91932387
newsletter.brandalley.co.uk,2096,2096,90793653
bbk.ac.uk,873,220,84974581
fancy.com,1716,1714,83274055
airbaltic.com,164,0,82533966
quora.com,882,852,81284680
e.zavvi.com,1313,1286,80463027
s.discountvouchers.co.uk,680,680,75511085
mail.ru,19,0,74625111
e-mail.microsoft.com,1116,163,74248715
emails.secretsales.com,1235,0,71531193
contractoruk.com,327,104,71207845
email.travelzoo.com,1591,1584,69210454
email.secretescapes.com,714,714,66123437
mailing.tesco.com,1138,887,63628964
gorgeousshopmail.com,626,626,63116592
mail.tkmaxx.com,1064,1064,62090289
e.quidco.com,1302,1228,60506463
sqlservercentral.com,695,127,58127901
hotblack.co.uk,17,0,57979415
pigu.lt,1536,1517,57763686
liferesidential.co.uk,229,1,55205789
email.thomson.co.uk,481,481,53900870
furnitureatwork.co.uk,740,737,52994757
mail.accountingweb.co.uk,1455,900,52716006
rbc.com,261,0,51796256
achicaemails.achica.com,930,848,51717015
mail.cryst.bbk.ac.uk,693,515,51267568
e.hotwire.com,474,474,51215406
i.offers.bespokeoffers.co.uk,334,334,50378490
findaproperty.com,2260,295,49952950
astoncarter.co.uk,207,1,48568502
adidas-news.adidas.com,715,252,47787274
topcashback.co.uk,406,406,47675021
emails.nectar.com,470,470,44860852
reply.agoda-rewards.com,408,408,44626266
email.net-a-porter.com,370,370,44369697
wellersauctions.com,551,551,44207644
keatons.com,56,22,42916023
news.spotifymail.com,896,0,42280788
landlordzone.net,770,770,41490452
e.tripadvisor.com,572,569,41164112
comms.packtpub.com,641,641,40932856
scan.co.uk,606,572,38985983
welcome.notonthehighstreet.com,486,486,38970542
mail.asda.com,617,0,38655328
rush-email.co.uk,984,984,37889017
email.ebuyer.com,827,827,37761336
mailer.infoq.com,829,799,37537615
uber.com,159,47,36807093
amazon.de,408,0,36641396
credit-suisse.com,157,0,36443435
fool.co.uk,472,470,36046878
ocadomail.com,700,684,34592511
glassdoor.com,503,1,34292477
eml.johnlewis.com,337,337,34097052
newsletters.microsoft.com,476,0,33935938
store.currys.co.uk,462,456,33574269
hudson.com,357,0,33572238
bullionbypost.co.uk,277,255,33203571
shop.kobo.com,326,0,32548407
offers.bespokeoffers.co.uk,253,253,32215807
official.nike.com,569,569,31878448
theitjobboard.com,663,0,31493248
gamespot.com,332,291,31467197
email.asda.com,588,478,31370514
email.allbeauty.com,518,518,31148982
mail.burton.co.uk,1079,1079,30375862
discountvouchers.co.uk,268,268,30005759
email.agentprovocateur.com,336,336,29833215
ebay.com,708,95,29601457
members.ebay.co.uk,1011,0,28880037
e.seetickets.com,433,433,28492002
livingsocial.com,562,557,26927377
club-eu.lacoste.com,432,432,26807864
premierituk.com,364,0,26715163
em.waitrose.com,252,252,26503455
paypal.co.uk,1523,0,26007806
enews.thewhir.com,268,18,25976452
members.vault.com,520,520,25823131
news.startfitness.co.uk,678,678,25571451
love.thebodyshop.com,338,332,25563627
yplanapp.com,284,0,24898188
jtrewards.com,261,261,24595167
microsoft.com,346,193,24565626
e-ebuyer.com,665,665,24523822
ryanairmail.com,854,854,24521927
computerfutures.com,1149,0,24308456
news.venere.com,499,133,24203924
email.americanexpress.com,362,362,24005524
info.tfl.gov.uk,502,254,23723968
pool.com,1354,87,23504406
eu.playstationmail.net,247,237,23296411
email.argos.co.uk,369,369,23214581
email.moneysupermarketmail.com,234,221,23047022
mailer1.game.co.uk,514,512,22941500
flipboard.com,229,0,22893133
rewards.harrods.com,330,330,22892456
h-s-c.co.uk,146,0,22748630
